datum,richtung,entry_zeit,entry,sl,tp,exit_zeit,exit,exit_art,r,or_high,or_low,ticker,variante,phase
2026-04-09,long,10:45,182.38,181.85,,15:55,183.85,Tagesschluss,2.67,182.26,180.62,NVDA,SL25,warmup
2026-04-09,long,10:45,182.38,181.44,,15:55,183.85,Tagesschluss,1.512,182.26,180.62,NVDA,SL50,warmup
2026-04-09,long,10:45,182.38,181.03,,15:55,183.85,Tagesschluss,1.054,182.26,180.62,NVDA,SL75,warmup
2026-04-09,long,10:55,182.72,181.44,185.28,15:55,183.85,Tagesschluss,0.854,182.26,180.62,NVDA,Video,warmup
2026-04-09,long,10:55,182.72,180.62,191.12,15:55,183.85,Tagesschluss,0.521,182.26,180.62,NVDA,RetestMax,warmup
2026-04-10,long,09:45,186.93,185.95,,15:55,188.64,Tagesschluss,1.72,186.5,184.3,NVDA,SL25,warmup
2026-04-10,long,09:45,186.93,185.4,,15:55,188.64,Tagesschluss,1.1,186.5,184.3,NVDA,SL50,warmup
2026-04-10,long,09:45,186.93,184.85,,15:55,188.64,Tagesschluss,0.808,186.5,184.3,NVDA,SL75,warmup
2026-04-13,long,09:45,186.88,186.27,,15:55,189.21,Tagesschluss,3.773,186.45,185.74,NVDA,SL25,warmup
2026-04-13,long,09:45,186.88,186.1,,15:55,189.21,Tagesschluss,2.92,186.45,185.74,NVDA,SL50,warmup
2026-04-13,long,09:45,186.88,185.92,,15:55,189.21,Tagesschluss,2.381,186.45,185.74,NVDA,SL75,warmup
2026-04-14,long,10:50,193.36,192.68,,11:05,192.68,SL,-1.2,193.31,190.8,NVDA,SL25,warmup
2026-04-14,long,10:50,193.36,192.06,,15:55,196.49,Tagesschluss,2.375,193.31,190.8,NVDA,SL50,warmup
2026-04-14,long,10:50,193.36,191.43,,15:55,196.49,Tagesschluss,1.603,193.31,190.8,NVDA,SL75,warmup
2026-04-15,long,10:05,198.71,198.07,,12:40,198.07,SL,-1.218,198.68,196.26,NVDA,SL25,warmup
2026-04-15,long,10:05,198.71,197.47,,12:45,197.47,SL,-1.112,198.68,196.26,NVDA,SL50,warmup
2026-04-15,long,10:05,198.71,196.86,,12:50,196.86,SL,-1.075,198.68,196.26,NVDA,SL75,warmup
2026-04-15,long,10:15,198.92,197.47,201.82,12:45,197.47,SL,-1.095,198.68,196.26,NVDA,Video,warmup
2026-04-15,long,10:15,198.92,196.26,209.56,12:55,196.26,SL,-1.052,198.68,196.26,NVDA,RetestMax,warmup
2026-04-16,long,10:35,197.82,197.27,,15:55,198.24,Tagesschluss,0.708,197.76,195.81,NVDA,SL25,warmup
2026-04-16,long,10:35,197.82,196.78,,15:55,198.24,Tagesschluss,0.374,197.76,195.81,NVDA,SL50,warmup
2026-04-16,long,10:35,197.82,196.3,,15:55,198.24,Tagesschluss,0.254,197.76,195.81,NVDA,SL75,warmup
2026-04-16,long,10:45,197.88,196.78,200.07,15:55,198.24,Tagesschluss,0.292,197.76,195.81,NVDA,Video,warmup
2026-04-16,long,10:45,197.88,195.81,206.16,15:55,198.24,Tagesschluss,0.155,197.76,195.81,NVDA,RetestMax,warmup
2026-04-17,long,09:45,201.04,200.49,,09:55,200.49,SL,-1.255,200.89,199.27,NVDA,SL25,warmup
2026-04-17,long,09:45,201.04,200.08,,10:20,200.08,SL,-1.147,200.89,199.27,NVDA,SL50,warmup
2026-04-17,long,09:45,201.04,199.68,,13:20,199.68,SL,-1.103,200.89,199.27,NVDA,SL75,warmup
2026-04-17,long,10:00,201.4,200.08,204.04,10:20,200.08,SL,-1.106,200.89,199.27,NVDA,Video,warmup
2026-04-17,long,10:00,201.4,199.27,209.92,15:55,201.65,Tagesschluss,0.098,200.89,199.27,NVDA,RetestMax,warmup
2026-04-20,short,11:00,198.36,198.94,,11:20,198.94,SL,-1.238,200.52,198.42,NVDA,SL25,warmup
2026-04-20,short,11:00,198.36,199.47,,12:30,199.47,SL,-1.126,200.52,198.42,NVDA,SL50,warmup
2026-04-20,short,11:00,198.36,200.0,,13:45,200.0,SL,-1.086,200.52,198.42,NVDA,SL75,warmup
2026-04-21,short,09:35,201.58,201.92,,10:05,201.92,SL,-1.41,202.75,201.65,NVDA,SL25,warmup
2026-04-21,short,09:35,201.58,202.2,,10:10,202.2,SL,-1.228,202.75,201.65,NVDA,SL50,warmup
2026-04-21,short,09:35,201.58,202.47,,10:10,202.47,SL,-1.158,202.75,201.65,NVDA,SL75,warmup
2026-04-22,short,09:35,199.99,200.36,,09:40,200.36,SL,-1.387,201.1,200.11,NVDA,SL25,warmup
2026-04-22,short,09:35,199.99,200.61,,09:45,200.61,SL,-1.23,201.1,200.11,NVDA,SL50,warmup
2026-04-22,short,09:35,199.99,200.85,,10:35,200.85,SL,-1.164,201.1,200.11,NVDA,SL75,warmup
2026-04-23,long,09:45,203.79,202.44,,10:00,202.44,SL,-1.105,202.88,201.1,NVDA,SL25,warmup
2026-04-23,long,09:45,203.79,201.99,,10:20,201.99,SL,-1.079,202.88,201.1,NVDA,SL50,warmup
2026-04-23,long,09:45,203.79,201.55,,11:45,201.55,SL,-1.063,202.88,201.1,NVDA,SL75,warmup
2026-04-24,long,10:30,203.39,202.34,,15:55,208.19,Tagesschluss,4.503,203.18,199.81,NVDA,SL25,warmup
2026-04-24,long,10:30,203.39,201.49,,15:55,208.19,Tagesschluss,2.505,203.18,199.81,NVDA,SL50,warmup
2026-04-24,long,10:30,203.39,200.65,,15:55,208.19,Tagesschluss,1.735,203.18,199.81,NVDA,SL75,warmup
2026-04-24,long,10:40,204.76,201.49,211.29,15:55,208.19,Tagesschluss,1.038,203.18,199.81,NVDA,Video,warmup
2026-04-24,long,10:40,204.76,199.81,224.56,15:55,208.19,Tagesschluss,0.685,203.18,199.81,NVDA,RetestMax,warmup
2026-04-27,short,10:25,208.7,209.49,,10:50,209.49,SL,-1.186,210.94,209.0,NVDA,SL25,warmup
2026-04-27,short,10:25,208.7,209.97,,11:30,209.97,SL,-1.115,210.94,209.0,NVDA,SL50,warmup
2026-04-27,short,10:25,208.7,210.46,,11:35,210.46,SL,-1.084,210.94,209.0,NVDA,SL75,warmup
2026-04-28,long,09:35,211.4,210.29,,10:35,210.29,SL,-1.133,210.99,208.2,NVDA,SL25,warmup
2026-04-28,long,09:35,211.4,209.6,,10:50,209.6,SL,-1.081,210.99,208.2,NVDA,SL50,warmup
2026-04-28,long,09:35,211.4,208.9,,10:50,208.9,SL,-1.059,210.99,208.2,NVDA,SL75,warmup
2026-04-28,long,10:00,212.65,209.6,218.76,10:50,209.6,SL,-1.048,210.99,208.2,NVDA,Video,warmup
2026-04-28,long,10:00,212.65,208.2,230.45,15:55,213.15,Tagesschluss,0.103,210.99,208.2,NVDA,RetestMax,warmup
2026-04-29,short,10:05,210.33,210.98,,10:10,210.98,SL,-1.228,212.71,210.4,NVDA,SL25,warmup
2026-04-29,short,10:05,210.33,211.56,,10:35,211.56,SL,-1.121,212.71,210.4,NVDA,SL50,warmup
2026-04-29,short,10:05,210.33,212.14,,15:55,209.32,Tagesschluss,0.539,212.71,210.4,NVDA,SL75,warmup
2026-04-30,short,09:35,207.63,208.91,,15:55,199.53,Tagesschluss,6.284,210.3,208.45,NVDA,SL25,warmup
2026-04-30,short,09:35,207.63,209.38,,15:55,199.53,Tagesschluss,4.618,210.3,208.45,NVDA,SL50,warmup
2026-04-30,short,09:35,207.63,209.84,,15:55,199.53,Tagesschluss,3.651,210.3,208.45,NVDA,SL75,warmup
2026-05-01,short,09:50,199.19,200.89,,15:55,198.42,Tagesschluss,0.429,203.0,200.19,NVDA,SL25,warmup
2026-05-01,short,09:50,199.19,201.6,,15:55,198.42,Tagesschluss,0.304,203.0,200.19,NVDA,SL50,warmup
2026-05-01,short,09:50,199.19,202.3,,15:55,198.42,Tagesschluss,0.235,203.0,200.19,NVDA,SL75,warmup
2026-05-04,short,10:25,197.38,198.61,,14:00,198.61,SL,-1.112,200.75,197.9,NVDA,SL25,warmup
